"Q1. (John Robinson, Farewell Address to the Pilgrims, 1620 — colonists are a 'body politic' with officers 'to be chosen by you') What is the author's point of view about the role of government in the Plymouth Colony? (1) Separate leaders for church and state should be elected (2) People have the right to rebel against the government (3) The power to govern belongs to the people (4) Rulers must be given absolute authority to govern","(3) The power to govern belongs to the people — Robinson says leaders are 'to be chosen by you into office of government,' meaning self-government by consent of the governed."
"Q2. Which document most closely reflects the ideas about government expressed by John Robinson in this address? (1) Mayflower Compact (2) Maryland Toleration Act (3) Stamp Act (4) Townshend Acts","(1) Mayflower Compact — the Pilgrims' 1620 agreement to form a self-governing 'civil body politic' and obey laws made for the common good."
"Q3. (Centinel No. 5, Fall 1787 — warns that the 'necessary and proper' clause lets Congress override state laws) This passage was written during the (1) debate over the adoption of the Articles of Confederation (2) ratification of the United States Constitution (3) nullification crisis in Virginia and Kentucky (4) controversy over the War of 1812","(2) ratification of the United States Constitution — Centinel was an Anti-Federalist essay written in fall 1787 during the ratification debate."
"Q4. Which claim about the proposed United States Constitution is being made by the author of this passage (Centinel No. 5)? (1) The new Constitution gave the states enough power to avoid tyranny (2) The elastic clause would give too much power to Congress (3) The system of federalism is best for the new nation (4) The two-party system would lead to rebellion in the future","(2) The elastic (necessary and proper) clause would give too much power to Congress — a classic Anti-Federalist fear that Congress could 'controul and abrogate' state laws."
"Q5. (President Andrew Jackson, Message to Congress on Indian Removal, 1830) Which statement best describes the claims made by Jackson in this passage? (1) The U.S. government must obey past treaties made with Native Americans (2) White settlers must work harder to get along with Native Americans (3) Native Americans had agreed to assimilate into American society (4) The relocation of Native Americans will assist both them and white settlers","(4) The relocation of Native Americans will assist both them and white settlers — Jackson claims removal will free Mississippi/Alabama for whites while supposedly 'protecting' and 'civilizing' Native Americans."
"Q6. What was one result of President Jackson's message to Congress on Indian Removal? (1) Trail of Tears (2) annexation of Texas (3) Dred Scott decision (4) Grange Movement","(1) Trail of Tears — the Indian Removal Act (1830) led to the forced relocation of the Cherokee and other nations west of the Mississippi; thousands died on the journey."
"Q7. (Homestead Certificate for Daniel Freeman, 1868 — 160 acres under the Homestead Act of 1862) This certificate supports a national commitment to what policy? (1) Monroe Doctrine (2) isolationism (3) Manifest Destiny (4) détente","(3) Manifest Destiny — the Homestead Act gave 160 acres of free public land to settlers, encouraging westward expansion across the continent."
"Q8. What area of the United States was most affected by the program described in this document (Homestead Act)? (1) the Southwest deserts (2) the Great Plains (3) the Hudson Valley (4) the Pacific Northwest","(2) the Great Plains — most homestead claims were on the open grasslands of the Plains states (e.g., Nebraska, Kansas, the Dakotas)."
"Q9. (Plessy v. Ferguson, 1896 — 'enforced separation of the races' does not violate the 14th Amendment) Which phrase is most closely associated with the ideas expressed in this excerpt? (1) 'separate but equal' (2) 'clear and present danger' (3) 'all men are created equal' (4) 'necessary and proper'","(1) 'separate but equal' — Plessy v. Ferguson (1896) ruled that racial segregation was constitutional if facilities were equal."
"Q10. What was an effect of the Supreme Court's decision in Plessy v. Ferguson? (1) The Freedmen's Bureau was established (2) The Underground Railroad was formed (3) The practice of segregation was reinforced (4) Voting rights were enhanced by grandfather clauses","(3) The practice of segregation was reinforced — the ruling gave legal backing to Jim Crow segregation laws until Brown v. Board of Education (1954) overturned it."
"Q11. (Jacob Riis photograph, How the Other Half Lives, 1890 — crowded tenement lodgers) The purpose of this photograph was to (1) raise public awareness for conditions in the tenements (2) support unrestricted immigration (3) expose the unsafe working conditions in factories (4) promote the use of child labor","(1) raise public awareness for conditions in the tenements — Riis was a muckraker who used photography to expose urban poverty and overcrowded slum housing."
"Q12. Individuals who were influenced by the work of Jacob Riis would most likely agree that (1) federal income taxes should be eliminated (2) monopolistic business practices should be encouraged (3) labor unions should be banned (4) social and economic reforms should be addressed by the government","(4) social and economic reforms should be addressed by the government — Riis inspired Progressive Era reforms such as tenement housing laws."
"Q13. (Photos of the USS Maine before and after its 1898 destruction) Photographs such as these were often published to (1) increase newspaper sales (2) discourage investigative journalists (3) support restrictions on the freedom of the press (4) pressure reporters to reveal their sources","(1) increase newspaper sales — yellow journalism (Hearst and Pulitzer) sensationalized the Maine explosion to sell papers."
"Q14. What was one outcome of the destruction of the USS Maine? (1) Spanish officials responsible were put on trial (2) Spain strengthened its control over Cuba (3) Public support for a declaration of war against Spain increased (4) Spain paid to rebuild the ship and compensate the victims","(3) Public support for a declaration of war against Spain increased — 'Remember the Maine!' helped push the U.S. into the Spanish-American War (1898)."
"Q15. (Theodore Roosevelt, First Annual Message to Congress, 1901 — the nation should supervise and regulate trusts doing interstate business) Which constitutional provision supports TR's view regarding large corporations? (1) reserved powers of the states (2) presidential veto (3) eminent domain (4) congressional power to regulate interstate commerce","(4) congressional power to regulate interstate commerce — the Commerce Clause justified federal regulation of corporations operating across state lines."
"Q16. Which United States economic policy did President Roosevelt's message challenge? (1) mercantilism (2) laissez-faire (3) protectionism (4) supply-side","(2) laissez-faire — TR rejected the hands-off approach by calling for federal supervision and regulation of trusts."
"Q17. (Woodrow Wilson, Joint Address to Congress, 1917) In this address, why does Wilson conclude that neutrality is no longer a practical United States policy? (1) The German government has invaded U.S. territory (2) United States ships and citizens are being attacked by German submarines (3) The Allies have committed several acts of war (4) Germany broke a series of peace treaties","(2) United States ships and citizens are being attacked by German submarines — Germany's unrestricted submarine warfare made armed neutrality 'impracticable.'"
"Q18. How did Congress respond to President Wilson's 1917 address? (1) They sent negotiators to meet with representatives (2) They voted to declare war against Germany (3) They placed an embargo on all goods shipped to and from Germany (4) They asked the League of Nations to stop Germany's use of submarine warfare","(2) They voted to declare war against Germany — Congress declared war in April 1917, bringing the U.S. into World War I."
